SEASON_ID,TEAM_ID,GAME_ID,GAME_DATE,HOME,OPPONENT,TARGET,WL_5_x,MIN_5_x,PTS_5_x,FGM_5_x,FGA_5_x,FG_PCT_5_x,FG3M_5_x,FG3A_5_x,FG3_PCT_5_x,FTM_5_x,FTA_5_x,FT_PCT_5_x,OREB_5_x,DREB_5_x,REB_5_x,AST_5_x,STL_5_x,BLK_5_x,TOV_5_x,PF_5_x,PLUS_MINUS_5_x,HOME_5_x,AWAY_5_x,HOME_NEXT_x,WL_5_y,MIN_5_y,PTS_5_y,FGM_5_y,FGA_5_y,FG_PCT_5_y,FG3M_5_y,FG3A_5_y,FG3_PCT_5_y,FTM_5_y,FTA_5_y,FT_PCT_5_y,OREB_5_y,DREB_5_y,REB_5_y,AST_5_y,STL_5_y,BLK_5_y,TOV_5_y,PF_5_y,PLUS_MINUS_5_y,HOME_5_y,AWAY_5_y
22021,1610612756,22100088,30-10-2021,1,1610612739,1,0.4,240.6,105.2,40.4,87.8,0.4602,9,29,0.3032,15.4,22.2,0.6922,9.4,38.2,47.6,26.2,8.2,3,13.4,17.8,-5,0.6,0.4,1,0.2,239.8,104.2,38.8,91.8,0.4224,10,34.6,0.2924,16.6,20.8,0.811,14,37.4,51.4,21.2,7.2,5,15,21.4,-2.2,0.6,0.4
22021,1610612741,22100083,30-10-2021,1,1610612762,1,0.8,239.8,109.2,39.2,85.8,0.4568,10.6,26.8,0.3898,20.2,23.6,0.8612,6.6,33.2,39.8,24.2,9.4,6.2,11,16.8,8.2,0.8,0.2,0,0.4,254.8,109.8,40.2,92.2,0.4346,11.4,37.2,0.289,18,21.8,0.8136,9,36.8,45.8,23,8.2,8.4,14.4,23.4,-4.6,0.4,0.6
22021,1610612765,22100079,30-10-2021,1,1610612753,0,0.2,239.4,97.2,36.2,88.8,0.4074,9.4,34.2,0.265,15.4,20.6,0.7412,12,32.2,44.2,21,9.2,5.8,15,17.6,-8,0.4,0.6,0,0.6,240,102.2,37.2,86,0.4328,10.2,35.4,0.2832,17.6,21.6,0.835,8.2,39.2,47.4,21.6,7.6,6.2,14.2,19.8,-0.6,0.8,0.2
22021,1610612739,22100088,30-10-2021,0,1610612756,1,0.6,240.6,97,36.2,86,0.4214,8.6,30.2,0.2702,16,20.6,0.7864,12.6,36,48.6,22,8.2,3.6,15.6,16.4,2,0.2,0.8,0,0.6,245,116.8,42.6,91.8,0.4656,15.2,36.6,0.4118,16.4,22.8,0.7222,11,33.2,44.2,26.2,8,5.4,12.2,18.2,2.2,0.4,0.6
22021,1610612763,22100084,30-10-2021,1,1610612748,1,0.4,246,108.2,39,94.2,0.414,14.6,43.8,0.3396,15.6,19.4,0.8104,14,32,46,25.8,11.6,5.2,16,19,-8,0.2,0.8,1,0.6,240.6,99.6,40,85.2,0.4704,9.6,33.8,0.2886,10,14.6,0.6802,8.6,35.8,44.4,23.6,9.6,4.2,18.4,21,3,0.6,0.4
22021,1610612742,22100089,31-10-2021,1,1610612758,0,0.8,239.8,100.6,37,88.2,0.416,12.8,40.8,0.3104,13.8,20.6,0.6356,10.4,34.8,45.2,21,7,5.4,11.8,20,-0.4,0.6,0.4,1,0.8,245.4,109.4,40.6,90.6,0.4496,10.6,32.2,0.3192,17.6,19.4,0.909,12.6,41.2,53.8,24.2,7.6,2.2,16.2,20,12,0.4,0.6
22021,1610612758,22100089,31-10-2021,0,1610612742,0,0.4,240.2,106,40.2,91.2,0.444,10.8,36.6,0.294,14.8,18.8,0.7644,10.8,37.2,48,22.6,6.4,4.6,14.2,19.4,-4,0.4,0.6,0,0.8,240,112,38.4,85.4,0.4516,13.4,40.4,0.33,21.8,25.6,0.8604,10.4,39.2,49.6,17.6,7.6,6,15.6,18.6,11.2,0.2,0.8
22021,1610612751,22100092,31-10-2021,1,1610612765,1,0.6,240,102.8,38.4,82.8,0.4702,10.4,32.8,0.324,15.6,20,0.7934,6.4,39.8,46.2,22.4,7.8,5.4,15.6,20.4,3.6,1,0,1,0.6,239.6,109.4,41.6,90.4,0.462,9.4,27.8,0.3348,16.8,20,0.8122,14,34.6,48.6,23.8,6.8,3.2,13.4,16.6,-2.2,0.4,0.6
22021,1610612749,22100091,31-10-2021,1,1610612762,1,0.4,240,107.2,39.8,89.6,0.4466,12.4,39.6,0.3194,15.2,19.2,0.788,9.8,35.2,45,20.6,8.4,3.8,13.8,18.4,-1.2,0.6,0.4,0,0.2,239.4,97.8,35.4,86.6,0.4084,10.6,35.2,0.295,16.4,22.4,0.7238,11.2,29.4,40.6,21.8,10.2,5.4,14.8,18,-12,0.2,0.8
22021,1610612762,22100091,31-10-2021,0,1610612749,1,0.8,240,112,38.4,85.4,0.4516,13.4,40.4,0.33,21.8,25.6,0.8604,10.4,39.2,49.6,17.6,7.6,6,15.6,18.6,11.2,0.2,0.8,1,0.4,240.2,106,40.2,91.2,0.444,10.8,36.6,0.294,14.8,18.8,0.7644,10.8,37.2,48,22.6,6.4,4.6,14.2,19.4,-4,0.4,0.6
22021,1610612757,22100090,31-10-2021,0,1610612766,0,0.6,238.8,112,41.2,91.6,0.4488,16,43.6,0.3662,13.6,18.6,0.7402,11.8,38.8,50.6,22.4,8.4,5.2,15.6,18,5.2,0.6,0.4,0,0.6,239.4,111,40.8,84.6,0.4826,13.4,36.6,0.3714,16,18.2,0.8728,8,33,41,22.4,7.8,7.4,13.2,19.8,6,0.6,0.4
22021,1610612745,22100093,31-10-2021,0,1610612747,0,0.2,239.4,100.6,35.8,85.4,0.4196,12.4,36.2,0.3428,16.6,23.2,0.7314,9.8,38,47.8,21.2,8.4,4.6,17.6,20.2,-5.6,0.6,0.4,0,0.8,245.6,113.8,45.2,92.2,0.4932,11.2,30.6,0.3696,12.2,16.2,0.7654,9.8,33.6,43.4,24.8,10,7.8,15.8,19.4,4.2,0.6,0.4
22021,1610612747,22100093,31-10-2021,1,1610612745,1,0.8,245.6,113.8,45.2,92.2,0.4932,11.2,30.6,0.3696,12.2,16.2,0.7654,9.8,33.6,43.4,24.8,10,7.8,15.8,19.4,4.2,0.6,0.4,1,0.2,239.4,100.6,35.8,85.4,0.4196,12.4,36.2,0.3428,16.6,23.2,0.7314,9.8,38,47.8,21.2,8.4,4.6,17.6,20.2,-5.6,0.6,0.4
22021,1610612766,22100090,31-10-2021,1,1610612757,0,0.6,245,116.8,42.6,91.8,0.4656,15.2,36.6,0.4118,16.4,22.8,0.7222,11,33.2,44.2,26.2,8,5.4,12.2,18.2,2.2,0.4,0.6,1,0.6,240.6,97,36.2,86,0.4214,8.6,30.2,0.2702,16,20.6,0.7864,12.6,36,48.6,22,8.2,3.6,15.6,16.4,2,0.2,0.8
